@virsanghvi,strange pastime corona
@sushantlover,blame appreciate someone bcoz invite invite party wrong thing invite party depend much rapport share person thank rajkumar hirani cameo pk amir khan
@kanganateam,please dont go alone go alongwith lawyer take enough precautions covid large number mumbai police affect corona
@fatimarasools,madam increase knowledge bite comment amir khan wasnt script writer lead actor
@mechanicalleng,turkey respect amir khan love indian culture visit turkey twice dont try fool
@bollyhungama,amir would make blockbuster
@bhaskarvasistha,firoz khan almost convert hinduism never abuse devtas
@vinayakjain,wrong sir
@viveknsharma,yes old turk look amir khan cant anything mahabharat sag overage khan bollywood fact would like dark man south krishna rather fair dude part india
@hongboonjo,alternatining original storyline fit movie structure cast appropriate actor play collage student yr old amir khan
@entropied,change nothing h viewer amir khan still popular avg h household think ak good popularise mb
@shameiessfc,rashford amir khan
@indrajat,hear amir khan would make series mahabharat happen would disastrous name foe n fos artists
@sanatanibilli,dont want amir khan play lord krishna
@sharmasidhita,hear bollywood producers plan mahabratham movie since bahubali
@taaooma,jo fear touch tao force collapse convulse nk
@praveendna,amir khan say surya ghajini far better version
@uttishtabharat,poor amir live fear wht say never follow tht leave children safe hypocrites mohajirs like behve damkis
@hkscientist,hahaha might pm imran khan assign new job dr amir liaquat yesterday meet
@drjoeabah,im medic available service idea also blossom nhis transformation health care delivery citizens
@ghamlife,ufhhh watch idiots amir khan teach something
@tecnomobileng,get pouvoir pro gb ram
@imranjeetsing,even osama bin lade engineer
@balbirflora,balbir well do amir khan always associate thank
@pratikshaghadg,hoga dont worry sure song blocbuster use amir khan technique watch song give predictions
@jauharjoshanda,one best model study follow adopt amir khans
@mamataofficialdid,bjp karyakarta amir ali khan deserve die young age jst fr join bjp slaughter youths part tmc manifesto mamatarshahidprohoson
@bollywoodskele,amir khan akshay kumar ajay devgaon lot others speak khans already hopeless dont expect onlycbiforssr
@razarumi,imran khan come power legs ayaz amir
@richaanirudh,day amir khans public admission private bedroom talk nd hindu wife fear india
@shahzehwa,amir khan izz well
@taapsee,good busy ask us hospital administrators live covid covid covid scare today dr guleria say vaccine may come year end conveniently say another year corona anxieties productvaccine prove safe
@arnab,bollywoodlobby
@sanjvy,totally agree bro
@sudarsansand,amir khan xi
@yearofthekraken,guy pic come satyamev jayate amir khan narrate story child abuse prepare grind abuse children disgust pathetic
@therichdalit,yeah air nd athar amir khan spouse tina dabi
@p,amir khan
@filmfare,serious manoj bajpayee pankaj tripathi nawazuddin siddiqui amir khan ayushman khurana rajkumar rao vicky kaushal kk menon million others even begin count female actors yet ranbir alia good gems far better
@pradip,actingwise amir khan bad salman saif much bigoted jihadi
@itsmughal,thank bro
@insaafkesipahi,old tv program saw amir khan copy famous scenes bampw hollywood movies one notice rat mr perfectionistlol
@saniekapate,poor wrinkle face farmer sell lesser amir khans
@fatmounh,think care talk youthia find familiar mind talk muras saeed amir liaqat dabbu shehreyar afridi older version youthia find khan speak
@rubenlal,many hit movies gajini hindi gajini define milestone hindi cinema amir khan bcos st crore collect film science apply
@nailainayat,imran khan amir khan brother
@akashsolver,sushant super star potential become next amitabh bacchan bollywood act skills far better amir khan mistake people flop film even handsome actor world
@timichel,journeyman fight danny garcia amir khan luis collazo
@nadeemfparacha,contrary amir many others fact liabilities pti must get rid asap
@wikiracha,ok ones amir khan
@runikumari,every time money everything ssr refuse take single panny want take kind money amir khan
@tanya,amir aamir khan
@channieracha,also chan give amir khan vibes like way laugh humble supportive inspireable dude
@iamsrksrkian,tere srk ko amir amanullah khan award mila
@vantejiya,ptani srk solmon amir khan deepika overseas famous h idk
@kubei,amir khan muslim indian
@tabindam,obl martyr amir liaqut asset anyone value imran khans eye someone ability think straight
@jinficent,lmao ikr maybe amir khan coz theyve watch idiots
@ashoswai,indian media say corona se marayga pakistan pakistan come almost india time bigger however time case per day
@coolfunnytshirt,sympathy respect srk poor guy struggle everyday
@aamirliaquat,haha tusee sarey ral ke twitter tey mulk chala layo wa amir sb wa kia baat hey resign se phly twitter per apne jazbaat share kr diye u r true follower khan mr pm try best solve kashmir issue twitter
@andpicket,bud crawford fight jeff horn jose benevidez jr amir khan kavaliauskas lbs
@hyzaidi,finally amir liaqat happen meet pm fake resignation fiasco take seriously maybe khan take bigass uturn aliaqat resignation
@satyapr,wohi gheesi peeti dabangg tiger k sequel banante raho crore kamao keep fool audience muscular guy scar new comers experiment new script like amir khan still hell worship herd mentality people utter nonsense
@gauravbjpindia,amir khan bhaand hai scar mullas take fatwah head act like puppet mullas name secularism
@asthana,think amir khan involve
@bhookhananga,superheroes also dont stunt know one work still speak even perfectionist amir khan bhi bil jake chupa hai
@babitaphogat,thankful amir khan
@anargal,srk nd amir khan r good actors yes completely agree case salman khan doesnt even know act despite tht even brothers r zero term act r get movies nd dumbo people r still think earn hard work
@spotboye,hope sidharth bhai follow footsteps man choose project years best best
@gutsythala,amir favt khans categoryother khans comment guru climax really abishek nail actually critics claim hes reactionless guy like thing one properly use hes far better eruma saani arjun kapur exploit panipat saanipat
@abdaniyal,salman khan work hard spoil others career srk work hard insult others useto get insecure insecure man amir khan work hard stay quite matter whats happen aroundits hard tolerate
@audaciousquest,responses hindi family become famous hindi sanajh main aati hai english mushkil hai thank amir khan yeh log ko famous karne ke liye
@alirazatweets,hahamedia report imran khan give hint amir liaqat part cabinet
@nileshresearch,amir make movie triple talaq victims didnt raise issue serial satyamev jayate sharukh khan raise voice atrocities muslim females
@surajhande,amir khan
@jameskennedyuk,hahayeah omgs fun hide dialogues
@waqasamjaad,wont resignation amir bhai listen khan shb
@nowaila,imran khan pls accept resignation amir liaqat people accept marriages invitation
@happychristinah,name amir khan
@doubleducker,amir khan great man never indulge others matter
@vijaykohli,even dont big impression like anyone bollywood may recently watch war like hrithik like amir khan two film watch pk idiots
@joybhattacharj,good actor infamous statement make permanently give image muslim hisociety ghazal singer hat india role essay amir khan sonali bendre starrer sarfarosh
@apmarjayein,first speeches imran khan speeches pti
@captainmisbahpk,also give chance sohail tanveer amir khan junaid khan rahat ali umer amin nouman ali top wicket taker zeeshan ashraf
@sohailmalik,extremerules engvpak asimbajwamoneytraildo asimbajwaourpride
@sohailimrangeo,junaid khan
@swamy,invest possess nation freeze chinese investmentsstrangle chinese communist partyccp owninvest possess policy china spread covid take live amp economies globally
@khushnumaqazi,first time watch movie felt emotional amaze movie nd part whre amir khan extra ordinary
@korbin,kala akshar bhains barabar snides parent teachers give idea much hurt intelligent people around
@karachiwala,convenient excuse forget disqualify charge ns since amir liaquat sit parliament pti sheikh rasheed imran khans support despite blood hand shahryar afridi ministry depite
@iamjat,many khan film cross cr salman amir solo festival releasessaaho open cr
@bollywoodirect,pakistani agent amir khan film
@abhisheksinqh,kangana work star khans like swara
@leorebelious,yrf allow movies amir khan even though contract clause finish movies movies dude business ranveer singh
@paras,dont divide society communities support khans despite huge star support goodness ethics support irfan khan nawazuddin siddiqui salman shahrukh amir community breaker dont deserve love nation support truth power
@htshowbiz,common give award base popularity amp performance
@roflmarathi,amir khan ki movie pk topic thi anti religious movie omg religion corporate business use religion tool difference
@patelrikken,ok amir khan factor
